,sentiment,content
4,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
10,neutral,cant fall asleep
22,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
31,neutral,@cynthia_123 i cant sleep
32,neutral,I missed the bl***y bus!!!!!!!!
33,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
34,neutral,SoCal!  stoked. or maybe not.. tomorrow
35,neutral,Screw you @davidbrussee! I only have 3 weeks...
38,neutral,has work this afternoon
39,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
48,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
49,neutral,wnna take a bath!!!!
50,neutral,Chocolate milk is so much better through a straw. I lack said straw
53,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
54,neutral,@benballer  no way! damn that sucks B!  are you ok?
57,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
58,neutral,@lostluna But I got dibs on Sulu...
65,neutral,At home alone with not much to do
70,neutral,I cant give @jertronic any bday nudges.
72,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
73,neutral,says I miss plurking.  http://plurk.com/p/wxion
75,neutral,I miss Voobys!
76,neutral,@Dancing_Monk Neither are ELP!!
81,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
90,neutral,@lepetitagneau what's going on sweetheart?
91,neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
93,neutral,@willxxmobb work at 6am. Gotta go to bed soon
98,neutral,PrinceCharming
102,neutral,Oh is that time for real?
111,neutral,@justamedicine  That was stone cold   Crazy....  ?
113,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
114,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
115,neutral,@thecreativeone I second that. I wish it rained more where I am
117,neutral,damn it were is Eric or anyone else when you need your hair to be played with
118,neutral,I'm feel deflated. Ugh. No more dog.
120,neutral,Well it almost was a good day... Guess I just retry tomorrow
